@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
154,'2023/04/30 03:02:15:585',1,61,113,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
155,'2023/04/30 03:02:15:601',1,63,112,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
156,'2023/04/30 03:02:15:618',1,63,115,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
157,'2023/04/30 03:02:15:642',1,59,112,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
158,'2023/04/30 03:02:15:653',1,56,113,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
159,'2023/04/30 03:02:15:675',1,52,115,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
160,'2023/04/30 03:02:15:685',1,53,112,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
161,'2023/04/30 03:02:15:709',1,55,115,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
162,'2023/04/30 03:02:15:720',1,59,118,163,131,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
163,'2023/04/30 03:02:15:735',1,61,114,164,140,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
164,'2023/04/30 03:02:15:752',1,64,116,164,138,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
165,'2023/04/30 03:02:15:768',1,63,118,164,136,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
166,'2023/04/30 03:02:41:321',2,70,190,166,188,116,20,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
167,'2023/04/30 03:02:41:364',2,70,190,166,188,116,19,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
168,'2023/04/30 03:02:41:367',2,72,190,165,188,116,19,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
169,'2023/04/30 03:02:41:370',2,73,190,165,189,116,19,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
170,'2023/04/30 03:02:41:386',2,72,190,165,189,116,20,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
171,'2023/04/30 03:02:41:405',2,70,190,165,189,116,18,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
172,'2023/04/30 03:02:41:420',2,70,190,165,189,116,18,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
173,'2023/04/30 03:02:41:471',2,71,190,165,188,116,21,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
174,'2023/04/30 03:02:41:471',2,70,190,165,188,116,21,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
175,'2023/04/30 03:02:41:473',2,69,190,165,188,116,21,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
176,'2023/04/30 03:02:41:487',2,71,190,165,188,116,21,0.338994,0.112395,0.945962,0.621746,0.470981,0.364874,0.704873,0.305228
